Sample,Bulk Density,Moisture,Sand,Silt,Clay,pH,EC,OM,TN,CEC,Location,Depth,SOCC,SOCD ,SOC Stock ,Lat,Long,Latitude,Longitude
C-1,1.41,38.96,1.66,78.98,19.36,7.94,1.832,2.477,0.149,20.245,Char Kukrimukri,20,1.44,0.0203,40.608,21.94244444,90.65783333,21.94244444,90.65783333
C-2,1.32,36.04,1.38,68.98,29.64,7.54,0.907,1.531,0.141,16.908,Char Kukrimukri,40,0.89,0.0117,23.496,21.94244444,90.65783333,21.94244444,90.65783333
C-3,1.37,31.25,2.82,65.16,32.02,7.42,0.552,1.342,0.153,24.279,Char Kukrimukri,60,0.78,0.0107,21.372,21.94244444,90.65783333,21.94244444,90.65783333
C-4,1.4,37.55,3.59,56.41,40,7.51,0.528,0.808,0.065,15.119,Char Kukrimukri,80,0.47,0.0066,13.16,21.94244444,90.65783333,21.94244444,90.65783333
C-5,1.42,42.3,5.06,60.22,34.72,7.7,0.576,0.602,0.042,20.389,Char Kukrimukri,100,0.35,0.005,9.94,21.94244444,90.65783333,21.94244444,90.65783333
H-1,1.56,29.35,22.38,55.81,21.81,7.16,0.046,3.113,0.175,18.059,Haimchar,20,1.81,0.0282,56.472,23.07091667,90.57661111,23.07091667,90.57661111
H-2,1.48,28.54,43.05,42.84,14.11,7.65,0.035,2.081,0.165,20.6,Haimchar,40,1.21,0.0179,35.816,23.07091667,90.57661111,23.07091667,90.57661111
H-3,1.38,30.53,60.83,27.63,11.55,7.69,0.024,1.29,0.091,16.399,Haimchar,60,0.75,0.0104,20.7,23.07091667,90.57661111,23.07091667,90.57661111
H-4,1.44,30.47,38.59,50.79,10.62,8.01,0.026,0.774,0.056,17.196,Haimchar,80,0.45,0.0065,12.96,23.07091667,90.57661111,23.07091667,90.57661111
H-5,1.48,33,35.54,50.31,14.15,8,0.032,0.516,0.07,24.74,Haimchar,100,0.3,0.0044,8.88,23.07091667,90.57661111,23.07091667,90.57661111
L-1,1.33,26.09,2.79,69.07,28.14,7.06,0.893,4.472,0.221,14.36,Lalmohan,20,2.6,0.0346,69.16,22.33486111,90.70108333,22.33486111,90.70108333
L-2,1.45,22.12,3.07,66.32,30.61,7.34,0.555,2.305,0.139,19.981,Lalmohan,40,1.34,0.0194,38.86,22.33486111,90.70108333,22.33486111,90.70108333
L-3,1.48,26.51,5.66,68.85,25.49,7.13,0.412,2.236,0.212,10.415,Lalmohan,60,1.3,0.0192,38.48,22.33486111,90.70108333,22.33486111,90.70108333
L-4,1.45,27.07,3.34,73.79,22.87,7.01,0.504,2.167,0.21,17.592,Lalmohan,80,1.26,0.0183,36.54,22.33486111,90.70108333,22.33486111,90.70108333
L-5,1.44,32.2,4.87,75.18,19.95,7.48,0.418,2.03,0.096,12.976,Lalmohan,100,1.18,0.017,33.984,22.33486111,90.70108333,22.33486111,90.70108333
R-1,1.53,19.59,1.66,41.4,56.94,8.18,0.348,1.944,0.213,21.29,Ramgati,20,1.13,0.0173,34.578,22.64427778,90.94175,22.64427778,90.94175
R-2,1.5,18.82,1.25,41.58,57.17,7.96,0.321,1.187,0.176,16.081,Ramgati,40,0.69,0.0104,20.7,22.64427778,90.94175,22.64427778,90.94175
R-3,1.37,25.82,0.55,28.85,70.6,8.1,0.236,1.032,0.151,17.748,Ramgati,60,0.6,0.0082,16.44,22.64427778,90.94175,22.64427778,90.94175
R-4,1.41,27.36,2.86,42.01,55.13,7.82,0.255,0.654,0.039,18.2,Ramgati,80,0.38,0.0054,10.716,22.64427778,90.94175,22.64427778,90.94175
R-5,1.43,26.4,7.01,56.82,36.17,7.79,0.188,0.619,0.069,15.794,Ramgati,100,0.36,0.0051,10.296,22.64427778,90.94175,22.64427778,90.94175
G-1,1.772,21.27,2.57,69.59,27.83,7.53,0.161,1.348,0.111,7.4,Godkhali,20,0.784,0.0139,27.785,23.0535,89.05955556,23.2925,89.466
G-2,1.695,25.73,12.57,46.45,40.98,7.69,0.109,0.691,0.083,4.864,Godkhali,40,0.402,0.0068,13.628,23.0535,89.05955556,23.2925,89.466
G-3,1.579,28.69,4.29,72.51,23.2,8.27,0.122,0.196,0.028,1.996,Godkhali,60,0.114,0.0018,3.6,23.0535,89.05955556,23.2925,89.466
G-4,1.732,21.65,7.43,69.43,23.14,8.46,0.104,0.23,0.044,2.957,Godkhali,80,0.134,0.0023,4.642,23.0535,89.05955556,23.2925,89.466
G-5,1.661,28.09,1.91,81.72,16.37,8.52,0.119,0.196,0.092,2.629,Godkhali,100,0.114,0.0019,3.787,23.0535,89.05955556,23.2925,89.466
P-1,1.751,25.7,4.38,55.93,39.15,8.28,0.139,0.597,0.078,5.382,Panisara,20,0.347,0.0061,12.152,23.05530556,89.06166667,23.05530556,89.06166667
P-2,1.324,55.69,13.04,64.52,22.44,8.3,0.056,0.2,0.194,10.444,Panisara,40,0.116,0.0015,3.072,23.05530556,89.06166667,23.05530556,89.06166667
P-3,1.577,30.09,11.58,65.6,22.82,8.15,0.049,0.2,0.086,3.086,Panisara,60,0.116,0.0018,3.659,23.05530556,89.06166667,23.05530556,89.06166667
P-4,1.574,25.77,15.65,52.89,31.46,8.1,0.032,0.1,0.047,1.618,Panisara,80,0.058,0.0009,1.826,23.05530556,89.06166667,23.05530556,89.06166667
P-5,1.447,26.42,27.11,56.07,16.82,8.04,0.041,0.067,0.025,0.743,Panisara,100,0.039,0.0006,1.129,23.05530556,89.06166667,23.05530556,89.06166667
J-1,1.696,21.97,0.16,64.25,35.59,8.08,0.184,1.129,0.116,8.352,Jhikargacha,20,0.657,0.0111,22.285,23.08422222,89.11513889,23.33,89.0266
J-2,1.744,24.48,1.67,64.07,34.26,8.27,0.206,0.365,0.105,5.072,Jhikargacha,40,0.212,0.0037,7.395,23.08422222,89.11513889,23.33,89.0266
J-3,1.589,25.27,3.57,78.72,17.71,8.6,0.093,0.131,0.042,1.634,Jhikargacha,60,0.076,0.0012,2.415,23.08422222,89.11513889,23.33,89.0266
J-4,1.492,21.84,8.92,73.85,17.23,8.72,0.09,0.131,0.056,2.044,Jhikargacha,80,0.076,0.0011,2.268,23.08422222,89.11513889,23.33,89.0266
J-5,1.485,24.11,11.21,71.48,17.31,8.66,0.097,0.131,0.028,0.8,Jhikargacha,100,0.076,0.0011,2.257,23.08422222,89.11513889,23.33,89.0266
M-1,1.46,33.26,8.05,58.76,33.19,7.49,0.182,1.873,0.2,9.42,Mohinikathi,20,1.089,0.0159,31.799,23.05441667,89.10147222,22.9536,89.5685
M-2,1.764,25.22,2.49,55.25,42.26,7.95,0.161,0.624,0.075,3.923,Mohinikathi,40,0.363,0.0064,12.807,23.05441667,89.10147222,22.9536,89.5685
M-3,1.581,33.44,2.53,62.52,34.95,8.39,0.126,0.329,0.054,2.684,Mohinikathi,60,0.191,0.003,6.039,23.05441667,89.10147222,22.9536,89.5685
M-4,1.54,34.38,2.94,69.95,27.11,8.44,0.12,0.165,0.047,2.256,Mohinikathi,80,0.096,0.0015,2.957,23.05441667,89.10147222,22.9536,89.5685
M-5,1.662,24.62,0.27,66.87,32.86,8.48,0.111,0.23,0.039,1.248,Mohinikathi,100,0.134,0.0022,4.454,23.05441667,89.10147222,22.9536,89.5685
S-1,1.653,24.17,6.57,67.34,26.09,8.55,0.135,1.084,0.169,8.112,Sirajsinga,20,0.631,0.0104,20.861,23.08416667,89.21261111,23.129,89.2788
S-2,1.81,23.35,3.47,64.7,31.83,8.6,0.143,0.394,0.064,3.88,Sirajsinga,40,0.229,0.0041,8.29,23.08416667,89.21261111,23.129,89.2788
S-3,1.57,28.43,11.12,66.04,22.84,8.77,0.106,0.198,0.049,1.937,Sirajsinga,60,0.115,0.0018,3.611,23.08416667,89.21261111,23.129,89.2788
S-4,1.664,26.53,5.35,66.23,28.42,8.76,0.119,0.263,0.416,11.814,Sirajsinga,80,0.153,0.0025,5.092,23.08416667,89.21261111,23.129,89.2788
S-5,1.673,27.29,20.01,65.01,14.98,8.93,0.102,0.131,0.031,0.951,Sirajsinga,100,0.076,0.0013,2.543,23.08416667,89.21261111,23.129,89.2788
Kj-1,1.59,33.95,5.974,50.81,43.216,8.28,3.44,2.57738,0.1,29.96,Karamjal,20,1.495,0.0237705,47.541,22.42844444,89.59255556,22.42844444,89.59255556
Kj-2,1.52,38.49,4.968,52.958,42.074,8.48,3.12,4.092776,0.09,28.3,Karamjal,40,2.374,0.0360848,72.1696,22.42844444,89.59255556,22.42844444,89.59255556
Kj-3,1.39,36.36,3.953,55.064,40.983,8.51,2.7,6.640848,0.09,28.11,Karamjal,60,3.852,0.0535428,107.0856,22.42844444,89.59255556,22.42844444,89.59255556
Kj-4,1.39,39.76,5.773,52.831,41.396,8.5,2.98,12.881728,0.08,29.73,Karamjal,80,7.472,0.1038608,207.7216,22.42844444,89.59255556,22.42844444,89.59255556
Kj-5,1.46,40.12,5.419,56.061,38.52,8.58,2.64,16.26594,0.07,27.71,Karamjal,100,9.435,0.137751,275.502,22.42844444,89.59255556,22.42844444,89.59255556
H-1,1.52,32.82,6.4,55.421,38.179,8.33,3.79,2.394636,0.14,27.15,Harbaria,20,1.389,0.0211128,42.2256,22.29833333,89.61511111,22.29833333,89.61511111
H-2,1.48,32.67,8.429,55.17,36.401,8.2,3.48,3.570404,0.13,27.1,Harbaria,40,2.071,0.0306508,61.3016,22.29833333,89.61511111,22.29833333,89.61511111
H-3,1.4,34.92,3.888,61.223,34.889,8.51,3.19,6.45638,0.09,26.86,Harbaria,60,3.745,0.05243,104.86,22.29833333,89.61511111,22.29833333,89.61511111
H-4,1.49,37.57,3.902,65.71,30.388,8.39,3.38,12.650712,0.08,25.5,Harbaria,80,7.338,0.1093362,218.6724,22.29833333,89.61511111,22.29833333,89.61511111
H-5,1.37,38.02,3.936,60.939,35.125,8.45,3.27,15.734948,0.06,29.87,Harbaria,100,9.127,0.1250399,250.0798,22.29833333,89.61511111,22.29833333,89.61511111
Kt-1,1.58,38.1,5.665,43.26,51.075,7.95,6.42,2.208444,0.11,30,Katka,20,1.281,0.0202398,40.4796,21.85486111,89.77255556,21.85486111,89.77255556
Kt-2,1.44,37.48,3.271,48.749,47.98,8.01,6.52,3.739356,0.1,28.97,Katka,40,2.169,0.0312336,62.4672,21.85486111,89.77255556,21.85486111,89.77255556
Kt-3,1.58,47.9,4.524,54.346,41.13,8.61,6.11,5.892632,0.09,29.41,Katka,60,3.418,0.0540044,108.0088,21.85486111,89.77255556,21.85486111,89.77255556
Kt-4,1.24,44.91,3.929,50.017,46.054,8.48,5.81,12.974824,0.09,28.55,Katka,80,7.526,0.0933224,186.6448,21.85486111,89.77255556,21.85486111,89.77255556
Kt-5,1.26,46.3,3.183,54.314,42.503,8.75,5.97,15.37808,0.07,27.92,Katka,100,8.92,0.112392,224.784,21.85486111,89.77255556,21.85486111,89.77255556
Hi-1,1.55,32.82,11.417,50.365,38.218,7.89,7.23,1.746412,0.13,26.61,Hiron Point,20,1.013,0.0157015,31.403,21.80780556,89.45913889,21.80780556,89.45913889
Hi-2,1.49,38.92,12.685,47.667,39.648,8.65,6.92,3.268704,0.11,26.99,Hiron Point,40,1.896,0.0282504,56.5008,21.80780556,89.45913889,21.80780556,89.45913889
Hi-3,1.52,38.96,6.43,58.591,34.979,8.78,7,5.52542,0.09,25.48,Hiron Point,60,3.205,0.048716,97.432,21.80780556,89.45913889,21.80780556,89.45913889
Hi-4,1.51,36.07,6.396,61.86,31.744,8.86,6.45,11.857672,0.08,25.1,Hiron Point,80,6.878,0.1038578,207.7156,21.80780556,89.45913889,21.80780556,89.45913889
Hi-5,1.31,41.82,8.836,62.681,28.483,8.74,6.46,15.022936,0.07,25,Hiron Point,100,8.714,0.1141534,228.3068,21.80780556,89.45913889,21.80780556,89.45913889
Mu-1,1.41,31.82,5.94,40.11,53.95,8.1,4.78,2.155,0.15,32.17,Munshiganj,20,1.25,0.017625,35.25,22.07149673,89.5571774,22.07149673,89.5571774
Mu-2,1.38,33.67,4.39,41.79,53.82,8.29,4.38,4.94788,0.14,32.1,Munshiganj,40,2.87,0.039606,79.212,22.07149673,89.5571774,22.07149673,89.5571774
Mu-3,1.33,35.92,4.11,42.35,53.54,8.34,4.19,5.75816,0.1,30.39,Munshiganj,60,3.34,0.044422,88.844,22.07149673,89.5571774,22.07149673,89.5571774
Mu-4,1.31,36.59,3.8,43.12,53.08,8.49,4.1,9.63716,0.09,30.33,Munshiganj,80,5.59,0.073229,146.458,22.07149673,89.5571774,22.07149673,89.5571774
Mu-5,1.24,38.32,3.14,45.88,50.98,8.57,3.55,14.01612,0.09,29.81,Munshiganj,100,8.13,0.100812,201.624,22.07149673,89.5571774,22.07149673,89.5571774
